n_features	best_param	fold_1_train	fold_1_test	best_param	fold_2_train	fold_2_test	best_param	fold_3_train	fold_3_test	best_param	fold_4_train	fold_4_test	best_param	fold_5_train	fold_5_test	outer_test
10	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.506823341776902	0.45555555555555555	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.49163304073520797	0.5096618357487922	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5049120722185737	0.4603174603174603	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5000784417967081	0.4685314685314686	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.4716772552066669	0.5942028985507246	0.28571428571428575
20	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5175640825176429	0.4475524475524475	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5025939998540617	0.5096618357487922	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.4950249658608792	0.45555555555555555	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5000784417967081	0.4685314685314686	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.4604491850312284	0.5942028985507246	0.37499999999999994
30	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.49538543328017004	0.4475524475524475	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.58518070165129	0.6313131313131313	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.4950249658608792	0.45555555555555555	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.47203505644682126	0.5096618357487922	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5802557046210296	0.6750109793588055	0.37499999999999994
40	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5964393123216652	0.4475524475524475	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.58518070165129	0.6313131313131313	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6421984551396316	0.45555555555555555	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.47203505644682126	0.5096618357487922	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.605652530017855	0.6750109793588055	0.4117647058823529
50	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6484319384319385	0.4541062801932367	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5755510720216603	0.6313131313131313	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5927322242028124	0.43274853801169594	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5977104377104376	0.6313131313131313	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6424032302979671	0.6750109793588055	0.4117647058823529
60	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6192255892255891	0.5248133509003075	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.583980463980464	0.6313131313131313	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6263927793339559	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6067580567580568	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6326352205299572	0.6750109793588055	0.4117647058823529
70	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6192255892255891	0.6147186147186147	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6048083506907036	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6029728659140423	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6067580567580568	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6276519730699297	0.6406926406926408	0.4117647058823529
80	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5898298777246145	0.6147186147186147	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6236738906088751	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6844642503466034	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6067580567580568	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6719799498746866	0.5937888198757765	0.2745098039215686
90	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5981533081068685	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6236738906088751	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7264032481679541	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6067580567580568	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6719799498746866	0.5937888198757765	0.2745098039215686
100	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6189811948171081	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.637124183006536	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7332955606485018	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5967580567580567	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.644666732189952	0.5937888198757765	0.4444444444444445
