Term	Definition
#killary	# Hillary is killer
#TCOT	# Top Conservatives on Twitter
# Mpotus	# Madam President of the United States
Potus	President of the United States
#HRC2016	# Hillary Clinton 2016
#MSM	# Mainstream Media
#LGBT	# Lesbian Gay Bisexual Transgender
#PFLAG	# Parents Families Friends of Lesbians and Gays organization
#GLAAD	# Gay Lesbian Alliance Against Defamation
#Pjnet	# Conservative Patriot Journalist Network
GOP	Grand Old Republican Conservative Party
IRS	Internal Revenue Service
#Oip	# Obama Impeachment Party
PAC	Political Action Committee
#p2	# progressive
-rev.	revelation from Jesus Christ
-ps.	Psalm
PBUH	Peace Be Upon Him
@BHAhumanists	@ British Human Association humanists
#sjw	# Social Justice Warrior
#antisjw	# Anti Social Justice Warrior
#sjwlogic	# Social Justice Warrior Logic
#MRA	# Men Rights Activism
#feminazi	# Radical Feminist Supporting Sexism Not Gender Equality
#MGTOW	# Men Going Their Own Way
#alaac15	# American Library Association Annual Conference 2015
#MagicMikeXXL	# Magic Mike XXL Movie
# GG	# Gamer Gate
@TakedownMRAs	@ Take Down Men Rights Activism
@UN_Women	@ United Nations Entity for Gender Equality and The Empowerment of Women
#UTEP	# University of Texas At El Paso
#TPOT	# True Progressives on Twitter
#NCPOL	# North Carolina Politics
#TLOT	# Top Libertarians on Twitter
#ocra	# Organized Conservative Resistance Alliance
#TopProg	# Top Progressive
Dems	Democrats
Repubs	Republicans
SCOTUS	Supreme Court of the United States
#repealthe8th	# repeal the eighth Irish amendment to allow women controlling their bodies and health.
#rally4life	Canadian Charity
#ccot	# Conservative Christians on Twitter
#prolifegen	# prolife generation
#2A	# Second Amendment protecting gun rights
#SCOTUSMarriage	# Supreme Court of the United States legalized gay marriage
#COS	# Convention of States
#peipoli	# Prince Edward Island Canadian province politics
#NRA	# National Rifle Association
@theCCCuk	@ Committee on Climate Change in United Kingdom
#CSOTA	# Climate Summit of The Americas
#FFRF	# Freedom from Religion Foundation
SCOC	Supreme Court of Canada
#glblwarmingnews	# global warming news
Cc	climate change
co2	carbon dioxide
#GMO	# Genetically Modified Organism
#ITDconf	# International Tax Dialogue Conference
#LiNo15	# Lindau Nobel Laureate Meeting
#GBR	# Great Barrier Reef
#rbe	# Resource Based Economy
#tvp	# Polish television
#CCFC15	# Climate Change Framework Convention 2015
#COP21	# Climate change Conference of Paris
Unfccc	United Nation Framework Convention on climate change
#IPCC	Intergovernmental Panel on Climate Change
LiberalAus	Liberal Party of Australia
#cdnpoli	# Canadian politics
#ISIS	# Islamic State of Iraq and Syria
#ISIL	# Islamic State of Iraq and Levant
#1A	# First Amendment of the United States Constitution for freedom of religious expression
#TGDN	# Twitter Gulag Defense Network for Conservatives
#ygk	# Kingston City in Canada
#roevwade	# roe v. wade Supreme Court case legalized abortion
#DNC	# Democratic National Committee
#ACA	# Affordable Care Act Obama Care
#SCOTUScare	# Obama Care
#peivotes	# Prince Edward Island votes
#reprohealth	# Reproductive Health
#auspol	# Australian Politics
#ycot	# Young Conservative on Twitter
#LibCrib	# Liberal's crib
#abvote	# Alberta provincial election
#VinB	# Vincent Browne show
#onpoli	# Ontario politics
#EPA	# Environmental Protection Agency in United States
#BCwildfire	# British Columbia Wildfire
#CFCC15	# Common Future Under Climate Change Conference
#Shenhua	# Shenhua mining and energy company
#NDP	# New Democratic Party in Canada
#FF	# Follow Friday
#Glasto2015	# Glastonbury Festival mud 2015
#ableg	# Alberta Legislature Politics
#HHDL80	# His Holiness Dalai Lama 80th birthday
#sb277	# California Senate Bill 277 eliminating parent's rights to exempt children from vaccines
#abpoli	# Alberta Politics
@UN_PGA	@ President of the United Nations General Assembly
@UCSUSA	@ Union of Concerned Scientists in United States
#HillNo	# No Hillary
#HRC	# Hillary Clinton
#sctweets	# South Carolina Tweets
@NRO	@ National Review
@thehill	@ The Hill Political Website
#ReproJustice	# Reproductive Justice
#WAAR	# We Are American Refugees
#wtf	# what the fuck
#HRCtte	# Human Rights Committee
#reprorights	# reproductive rights
#fem2	# feminism future
#KKK	# Ku Klux Klan terrorist organization in the United States
PEI	Prince Edward Island province in Canada
r.e.	real estate
TX	Texas
Pp	Planned Parenthood
@ Ppact	@ Planned Parenthood Action
Libs	Liberals
@WadePEILiberal	@ Wade the Leader of Prince Edward Island Canada
@PEILiberalParty	@ Prince Edward Island Liberal Party Canada
@DWStweets	@ Debbie Wasserman Schultz
#BHA2015	# British Human Association Conference 2015
#abed	# Alberta Education
#TheLUPOL	# The Logical Ultimate Purpose of Life
#FSM	# Flying Spaghetti Monster God of Parody Religion
#100AEUAssembly	# 100th Assembly of American Ethical Union
#lds	# Members of the Church of Jesus Christ Of Latter-day Saints
@AC360	@ Anderson Cooper 360 Show
IA	Iowa
SC	South Carolina
UK	United Kingdom
LA	Los Angeles
UN	United Nations
EU	European Union
PR	Public Relations
@HillaryforNV	@ Hillary for Nevada
@HillaryforIA	@ Hillary for Iowa
@HillaryforSC	@ Hillary for South Carolina
@HillaryforNH	@ Hillary for New Hampshire
#fellowsSC	# Fellowship South Carolina
#fellowsNV	# Fellowship Nevada
#fellowsIA	# Fellowship Iowa
@Slate	@ Slate American Magazine
@WashTimes	@ The Washington Times American Newspaper
@ClintonFdn	@ Clinton Foundation
@TGowdySC	@ Trey Gowdy Politician South Carolina
@GovChristie	@ Governor Chris Christie
@OutnumberedFNC	@Outnumbered Fox News
#UKClimate2015	# United Kingdom Climate in 2015
KJV	King James Version of the Holy Bible
-Prov.	Proverbs of King James Version of the Holy Bible
#prayforUSA	# pray for United States of America
#ghg	# Green house Gas
